Date : 2025-04-15 22:55:55
Directory : /home/saransh/Projects/Cypherrock
Total : 3927 files,  693559 codes, 78553 comments, 103649 blanks, all 875761 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/ed25519-donna/modm-donna-32bit.c                                            | C                |        415 |         45 |         58 |        518 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/ed25519-donna/modm-donna-32bit.h                                            | C++              |         25 |         30 |         26 |         81 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/elligator2.c                                                                | C                |         97 |         54 |         40 |        191 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/elligator2.h                                                                | C++              |          7 |         19 |          3 |         29 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/fuzzer/README.md                                                            | Markdown         |         77 |          0 |         37 |        114 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/fuzzer/extract_fuzzer_dictionary.py                                         | Python           |        255 |         81 |         64 |        400 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/fuzzer/extract_fuzzer_dictionary.sh                                         | Shell Script     |         16 |         23 |         11 |         50 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/fuzzer/fuzzer.c                                                             | C                |      1,122 |        224 |        275 |      1,621 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/groestl.c                                                                   | C                |        702 |         32 |         54 |        788 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/groestl.h                                                                   | C++              |         18 |         68 |         10 |         96 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/groestl_internal.h                                                          | C++              |        293 |        172 |         45 |        510 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/gui/main.cpp                                                                | C++              |          9 |          0 |          2 |         11 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/gui/mainwindow.cpp                                                          | C++              |         68 |          3 |          8 |         79 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/gui/mainwindow.h                                                            | C++              |         20 |          0 |          8 |         28 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/gui/mainwindow.ui                                                           | XML              |        161 |          0 |          1 |        162 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/hash_to_curve.c                                                             | C                |        257 |         74 |         83 |        414 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/hash_to_curve.h                                                             | C++              |         10 |         19 |          4 |         33 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/hasher.c                                                                    | C                |        126 |         21 |         11 |        158 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/hasher.h                                                                    | C++              |         47 |         21 |         16 |         84 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/hmac.c                                                                      | C                |        132 |         26 |         19 |        177 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/hmac.h                                                                      | C++              |         31 |         22 |          8 |         61 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/hmac_drbg.c                                                                 | C                |         89 |         27 |         15 |        131 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/hmac_drbg.h                                                                 | C++              |         15 |         22 |          7 |         44 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/memzero.c                                                                   | C                |         52 |         11 |         13 |         76 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/memzero.h                                                                   | C++              |          5 |          0 |          4 |          9 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/monero/base58.c                                                             | C                |        214 |         36 |         40 |        290 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/monero/base58.h                                                             | C++              |         14 |         32 |          5 |         51 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/monero/int-util.h                                                           | C++              |         32 |         36 |         11 |         79 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/monero/monero.h                                                             | C++              |         12 |          3 |          6 |         21 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/monero/serialize.c                                                          | C                |         40 |          5 |          9 |         54 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/monero/serialize.h                                                          | C++              |          8 |          3 |          5 |         16 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/monero/xmr.c                                                                | C                |        115 |          8 |         28 |        151 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/monero/xmr.h                                                                | C++              |         39 |         17 |         21 |         77 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/nem.c                                                                       | C                |        379 |         29 |        100 |        508 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/nem.h                                                                       | C++              |        106 |         21 |         30 |        157 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/nist256p1.c                                                                 | C                |         33 |         27 |         10 |         70 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/nist256p1.h                                                                 | C++              |          8 |         22 |          6 |         36 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/options.h                                                                   | C++              |         48 |         35 |         17 |        100 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/pbkdf2.c                                                                    | C                |        144 |         22 |         14 |        180 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/pbkdf2.h                                                                    | C++              |         37 |         22 |          8 |         67 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/rand.c                                                                      | C                |         43 |         35 |         14 |         92 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/rand.h                                                                      | C++              |         11 |         22 |          6 |         39 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/rc4.c                                                                       | C                |         27 |         21 |          9 |         57 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/rc4.h                                                                       | C++              |         11 |         21 |          6 |         38 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/rfc6979.c                                                                   | C                |         29 |         27 |          7 |         63 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/rfc6979.h                                                                   | C++              |         12 |         24 |          6 |         42 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/ripemd160.c                                                                 | C                |        264 |         43 |         37 |        344 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/ripemd160.h                                                                 | C++              |         17 |          0 |          6 |         23 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/script.c                                                                    | C                |         34 |         25 |          8 |         67 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/script.h                                                                    | C++              |          6 |         21 |          5 |         32 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/secp256k1.c                                                                 | C                |         56 |         26 |         13 |         95 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/secp256k1.h                                                                 | C++              |         11 |         22 |          6 |         39 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/segwit_addr.c                                                               | C                |        178 |         20 |         12 |        210 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/segwit_addr.h                                                               | C++              |         37 |         69 |         11 |        117 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/setup.py                                                                    | Python           |         34 |          1 |          5 |         40 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/sha2.c                                                                      | C                |        934 |        229 |        162 |      1,325 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/sha2.h                                                                      | C++              |         56 |         29 |         11 |         96 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/sha3.c                                                                      | C                |        284 |         89 |         41 |        414 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/sha3.h                                                                      | C++              |         50 |         26 |         14 |         90 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/shamir.c                                                                    | C                |        233 |         73 |         30 |        336 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/shamir.h                                                                    | C++              |         11 |         54 |          6 |         71 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/slip39.c                                                                    | C                |         82 |         51 |         19 |        152 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/slip39.h                                                                    | C++              |         11 |         23 |         10 |         44 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/slip39_english.c                                                            | C                |        174 |         23 |          3 |        200 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/slip39_wordlist.h                                                           | C++              |      1,034 |         33 |          5 |      1,072 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_bignum.py                                                        | Python           |        771 |          1 |        384 |      1,156 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_check.c                                                          | C                |     10,516 |        441 |        845 |     11,802 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_check_cardano.h                                                  | C++              |        510 |          1 |         61 |        572 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_check_cashaddr.h                                                 | C++              |         70 |          0 |          7 |         77 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_check_monero.h                                                   | C++              |      1,022 |          0 |        111 |      1,133 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_check_segwit.h                                                   | C++              |        236 |          9 |         10 |        255 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_curves.py                                                        | Python           |        288 |          2 |         92 |        382 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_openssl.c                                                        | C                |        109 |         35 |         29 |        173 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_speed.c                                                          | C                |        171 |          0 |         49 |        220 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tests/test_wycheproof.py                                                    | Python           |        574 |          1 |        174 |        749 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tls_prf.c                                                                   | C                |         48 |         29 |         12 |         89 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tls_prf.h                                                                   | C++              |          8 |         21 |          5 |         34 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tools/README.md                                                             | Markdown         |         38 |          0 |         17 |         55 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tools/bip39bruteforce.c                                                     | C                |         81 |         14 |          6 |        101 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tools/mktable.c                                                             | C                |         58 |         13 |          3 |         74 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tools/nem_test_vectors.erb                                                  | Ruby             |         17 |          0 |          2 |         19 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tools/nem_test_vectors.rb                                                   | Ruby             |         93 |          1 |         33 |        127 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/tools/xpubaddrgen.c                                                         | C                |         45 |          0 |          4 |         49 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/zkp_bip340.c                                                                | C                |        251 |         50 |         61 |        362 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/zkp_bip340.h                                                                | C++              |         19 |          0 |          4 |         23 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/zkp_context.c                                                               | C                |         65 |         26 |         25 |        116 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/zkp_context.h                                                               | C++              |         12 |          0 |          5 |         17 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/zkp_ecdsa.c                                                                 | C                |        383 |         82 |         78 |        543 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-crypto/zkp_ecdsa.h                                                                 | C++              |         33 |          0 |          4 |         37 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/README.md                                                                  | Markdown         |        232 |          0 |        150 |        382 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/flash_area.c                                                               | C                |        245 |         25 |         40 |        310 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/flash_area.h                                                               | C++              |         42 |         50 |         18 |        110 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/flash_ll.h                                                                 | C++              |         32 |         40 |         22 |         94 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/norcow.c                                                                   | C                |        303 |         92 |         58 |        453 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/norcow.h                                                                   | C++              |         20 |         52 |         16 |         88 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/norcow_bitwise.h                                                           | C++              |        162 |         40 |         31 |        233 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/norcow_blockwise.h                                                         | C++              |        209 |         71 |         48 |        328 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/pinlogs_bitwise.h                                                          | C++              |        210 |         16 |         42 |        268 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/pinlogs_blockwise.h                                                        | C++              |         65 |          0 |         23 |         88 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/storage.c                                                                  | C                |      1,289 |        227 |        252 |      1,768 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/storage.h                                                                  | C++              |         59 |         28 |         15 |        102 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/storage_utils.c                                                            | C                |          9 |          0 |          3 |         12 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/storage_utils.h                                                            | C++              |          2 |          0 |          3 |          5 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/Makefile                                                             | Makefile         |         15 |          1 |          6 |         22 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/README.md                                                            | Markdown         |          7 |          0 |          4 |         11 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/Makefile                                                           | Makefile         |         50 |          0 |         13 |         63 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/common.c                                                           | C                |         23 |         18 |          8 |         49 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/common.h                                                           | C++              |         11 |         18 |          8 |         37 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/flash.c                                                            | C                |        146 |         20 |         30 |        196 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/flash.h                                                            | C++              |          7 |         18 |          4 |         29 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/norcow_config.h                                                    | C++              |         15 |         25 |          7 |         47 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/random_delays.c                                                    | C                |          2 |         18 |          3 |         23 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/random_delays.h                                                    | C++              |          4 |         18 |          4 |         26 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/secbool.h                                                          | C++              |         10 |         18 |          6 |         34 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/storage.py                                                         | Python           |         95 |          1 |         21 |        117 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/test_layout.c                                                      | C                |         19 |          0 |          3 |         22 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/test_layout.h                                                      | C++              |          6 |          0 |          5 |         11 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c/time_estimate.h                                                    | C++              |          8 |         18 |          5 |         31 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/Makefile                                                          | Makefile         |         11 |          0 |          4 |         15 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/common.h                                                          | C++              |          6 |         18 |          6 |         30 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/flash.c                                                           | C                |         91 |         18 |         11 |        120 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/flash.h                                                           | C++              |         17 |         18 |          8 |         43 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/norcow.c                                                          | C                |        201 |         72 |         30 |        303 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/norcow.h                                                          | C++              |         11 |         37 |         11 |         59 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/norcow_config.h                                                   | C++              |          8 |         18 |          5 |         31 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/secbool.h                                                         | C++              |         10 |         18 |          6 |         34 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/storage.c                                                         | C                |        151 |         44 |         29 |        224 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/storage.h                                                         | C++              |         15 |         18 |          6 |         39 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c0/storage.py                                                        | Python           |         48 |          1 |         15 |         64 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/Makefile                                                          | Makefile         |         37 |          0 |         10 |         47 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/common.c                                                          | C                |         20 |         18 |          6 |         44 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/common.h                                                          | C++              |         10 |         18 |          8 |         36 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/flash.c                                                           | C                |        114 |         18 |         17 |        149 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/flash.h                                                           | C++              |         12 |         18 |          9 |         39 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/flash_common.c                                                    | C                |        113 |          1 |         20 |        134 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/flash_common.h                                                    | C++              |         35 |          0 |         11 |         46 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/norcow.c                                                          | C                |        402 |        113 |         71 |        586 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/norcow.h                                                          | C++              |         19 |         53 |         15 |         87 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/norcow_config.h                                                   | C++              |         14 |         25 |          7 |         46 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/random_delays.c                                                   | C                |          2 |         18 |          3 |         23 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/random_delays.h                                                   | C++              |          4 |         18 |          4 |         26 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/secbool.h                                                         | C++              |         10 |         18 |          6 |         34 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/storage.c                                                         | C                |      1,393 |        230 |        268 |      1,891 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/storage.h                                                         | C++              |         54 |         28 |         14 |         96 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/storage.py                                                        | Python           |         95 |          1 |         21 |        117 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/test_layout.c                                                     | C                |         19 |          0 |          3 |         22 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/c3/test_layout.h                                                     | C++              |          6 |          0 |          5 |         11 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/__init__.py                                                   | Python           |          0 |          0 |          1 |          1 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/src/__init__.py                                               | Python           |          0 |          0 |          1 |          1 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/src/consts.py                                                 | Python           |         64 |         46 |         50 |        160 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/src/crypto.py                                                 | Python           |         81 |          1 |         27 |        109 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/src/helpers.py                                                | Python           |         29 |          0 |         10 |         39 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/src/norcow.py                                                 | Python           |        285 |          2 |         58 |        345 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/src/pin_log_bitwise.py                                        | Python           |        112 |          6 |         30 |        148 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/src/pin_log_blockwise.py                                      | Python           |         41 |          0 |         19 |         60 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/src/prng.py                                                   | Python           |         25 |          0 |         10 |         35 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/src/storage.py                                                | Python           |        217 |          7 |         47 |        271 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/tests/__init__.py                                             | Python           |          0 |          0 |          1 |          1 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/tests/common.py                                               | Python           |          2 |          0 |          1 |          3 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/tests/test_helpers.py                                         | Python           |         11 |          0 |          4 |         15 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/tests/test_norcow.py                                          | Python           |        128 |          6 |         26 |        160 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/tests/test_norcow_qw.py                                       | Python           |        297 |          9 |         49 |        355 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/tests/test_pin.py                                             | Python           |         26 |          0 |          8 |         34 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/tests/test_pin_log.py                                         | Python           |         10 |          0 |          5 |         15 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/python/tests/test_prng.py                                            | Python           |          9 |          0 |          5 |         14 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/test.py                                                              | Python           |         36 |          3 |         12 |         51 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/tests/__init__.py                                                    | Python           |          0 |          0 |          1 |          1 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/tests/common.py                                                      | Python           |         18 |          0 |          8 |         26 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/tests/storage_model.py                                               | Python           |         53 |          1 |         15 |         69 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/tests/test_compact.py                                                | Python           |         40 |          0 |         10 |         50 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/tests/test_pin.py                                                    | Python           |         52 |          4 |         16 |         72 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/tests/test_random.py                                                 | Python           |         82 |          0 |         25 |        107 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/tests/test_random_upgrade.py                                         | Python           |         61 |          0 |         15 |         76 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/tests/test_set_get.py                                                | Python           |        229 |          5 |         54 |        288 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/vendor/trezor-storage/tests/tests/test_upgrade.py                                                | Python           |         77 |          1 |         18 |         96 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/webusb.c                                                                                         | C                |         74 |         18 |         15 |        107 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/webusb.h                                                                                         | C++              |         11 |         18 |          7 |         36 |
| /home/saransh/Projects/Cypherrock/trezor-firmware/legacy/webusb_defs.h                                                                                    | C++              |         35 |         20 |         12 |         67 |
